Ship Name,Year,Location,Cause,Lives Lost,Ship Value,Cargo Value,Vessel Type
Addie Wooster shipwreck (1921),1921,Atlantic City,Stranded,0,,,Motor vessel gas
Adelaide (1840) shipwreck (1840),1840,Sickles Creek,Stranded/Broke up,0,,,Schooner
Adelaide (1841) shipwreck (1841),1841,Brigantine Beach,Leaking,0,,,Schooner
Adelaide (1846) shipwreck (1846),1846,Barnegat Inlet,Struck Bar; Capsized,4,,,Sloop
Adelaide (1870) shipwreck (1870),1870,Barnegat,"Collision w/ ""Shakespeare""",0,,,Schooner
Adele shipwreck (1958),1958,Manasquan Inlet ESE 6.5 mi,Foundered,0,,,Dragger
Adele Lindell shipwreck (1885),1885,Tuckerton Shoal,Stranded,0,,,Schooner
Adele Trudell shipwreck (1891),1891,Sandy Hook Romer Shoal,Stranded in storm,0,2000.0,310.0,Schooner
Adelia Burley shipwreck (1874),1874,Great Egg Harbor bar,Stranded,0,,,Schooner
Adelia Hodgkins shipwreck (1877),1877,Egg Harbor,Unknown,0,,,Schooner
Adeline Baxter shipwreck (1877),1877,Corsons Inlet S .5 mi,Stranded in storm,0,,,Schooner
Adeliza shipwreck (1877),1877,Sandy Hook,Crushed in ice,0,,,Schooner
Admiral Dewey shipwreck (1918),1918,New Jersey coast,Burned,0,,,Barge
Admiral Dupont shipwreck (1865),1865,Cape May,"Collision w/ ""Stadacona""",20,,,Sidewheel steam
Admiral Rodney shipwreck (1780),1780,Sandy Hook,Battle w/ US privateer,6,,,Brig
Admirente shipwreck (unknown),Unknown,Unknown,Unknown,0,,,Unknown
Adolphus shipwreck (1886),1886,Delaware Bay The Shears,Stranded in storm,0,15000.0,5000.0,Ship
Adonis shipwreck (1859),1859,Long Branch South end,Stranded in storm,0,,,Bark
Adrian  shipwreck (1855),1855,Delaware Bay,"Collision w/ ""Keystone State""",2,,,Schooner
Adrian Maria shipwreck (1985),1985,Hereford Shoal,Stranded,0,,,Trawler
Adriana shipwreck (1801),1801,Delaware bay,Crushed in ice,0,,,Merchantman
Adriatic shipwreck (1999),1999,Beach Haven SE 5 mi,Unknown,4,,,Fishing trawler
Adriatic (1864) shipwreck (1864),1864,Montuk SW 20 mi,"Burned by Confederate Raider ""Tallahassee""",0,,,Sailing ship
Adrienne shipwreck (1878),1878,Short Beach,Stranded in storm,0,,,Sloop
Adry shipwreck (1927),1927,Perth Amboy,Burned,0,,,Motor vessel
Advent shipwreck (1851),1851,Delaware Capes,Grounded,0,,,Schooner
Adventure (1760) shipwreck (1760),1760,Sandy Hook,Stranded,0,,,Merchantman
Adventure (1762) shipwreck (1762),1762,Barnegat,Stranded,0,,,Schooner
Adventurer shipwreck (1983),1983,Cape May Inlet SE 12 mi,Unknown,0,,,Charter fishing boat
Aeolus shipwreck (1974),1974,Ambrose Light E 2 mi,Grounded,0,,,Tanker
African Monarch shipwreck (1910),1910,Brigantine LSS SE 3 mi,Stranded,0,40000.0,,Steamship
Agnes (1808) shipwreck (1808),1808,Cape May,Foundered,0,,,Ship
Agnes (1877) shipwreck (1877),1877,Cold Spring Bar,Stranded,0,20000.0,30000.0,Steamship
Agnes (1885) shipwreck (1885),1885,Sandy Hook Romer Shoal,Stranded,0,,,Schooner
Aid (1864) shipwreck (1864),1864,Barnegat South Shoal,Stranded,0,,,Bark
Aid (1876) shipwreck (1876),1876,Maurice River Flats,Stranded,1,,,Schooner
Ajace shipwreck (1881),1881,"Rockaway Shoals, NY",Stranded,14,,,Bark
Ajax shipwreck (1858),1858,Long Branch,Stranded; leaking,0,16000.0,,Tug steam
Akron (1912) shipwreck (1912),1912,Atlantic City E .5 mi,Explosion; Burned,5,50000.0,,Blimp
Akron (1933) shipwreck (1933),1933,Little Egg Harbor E 30 mi,Crashed in storm,73,,,Blimp
Alabama shipwreck (1846),1846,Squan Inlet S 1 mi,Stranded in gale,7,,,Schooner
Alamo shipwreck (1970),1970,Cape May E 30 mi,Capsized while in tow,2,,,Yacht motor
Alan T Niven shipwreck (1928),1928,"Warners, NJ",Burned,1,,,Motor vessel
Alaric shipwreck (1855),1855,Unknown,Stranded; Leaking,0,,,Sloop
Alarm USS shipwreck (1877),1877,Barnegat,"Collision w/ ""C & C Brooks""",0,,,Torpedo Boat
Albano shipwreck (1852),1852,Egg Harbor SE 25 mi,Capsized in squall,0,,,Brig
Albany shipwreck (1744),1744,Unknown,Foundered,0,,,Sloop
Albatross shipwreck (1932),1932,Ambrose Light,Burned,0,,,Motor vessel diesel
Albemarle (1856) shipwreck (1856),1856,Sandy Hook Inside,Stranded,0,,,Schooner
Albemarle (1866) shipwreck (1866),1866,Seven Mile Beach,Unknown,0,,,Schooner
Albert (1837) shipwreck (1837),1837,Cape May E 30 mi,"Collision w/ ""Talley Ho""",0,,,Schooner
