Ship Name,Year,Location,Cause,Lives Lost,Ship Value,Cargo Value,Vessel Type
Cabin Cruiser shipwreck (1960),1960,Absecon Inlet buoy S .5 mi,Unknown,0,,,Cabin cruiser
Cabrille shipwreck (1920),1920,Brigantine Shoal,Grounded,0,,,Steamship
Caddo (08/1921) shipwreck (1921),1921,Ship Bottom E 6 mi,Foundered,0,,,Barge
Caddo (12/1921) shipwreck (1921),1921,Barnegat,Stranded,0,,625000.0,Tanker
Cadet (1842) shipwreck (1842),1842,Manasquan Inlet S 3 mi,Foundered,0,,,Schooner
Cadet (1949) shipwreck (1949),1949,Avalon Buoy SW 5 mi,Capsized,0,,,Derrick
Cadwalader shipwreck (1942),1942,Unknown,Sank,0,,,Freighter
Caibarien shipwreck (1877),1877,Sandy Hook,"Collision w/ ""George W Clyde""",0,,,Bark
Caleb S Ridgway shipwreck (1885),1885,"Ortley Beach, NJ",Grounded,0,10000.0,17000.0,Schooner 3 masted
Caledonia (1715) shipwreck (1715),1715,"Raritan River, NJ",Abandoned on mooring,0,,,Sailing ship
Caledonia (1820) shipwreck (1820),1820,Long Branch,Stranded,3,,,Sailing ship
Caledonia (1836) shipwreck (1836),1836,"Lewes, DE",Grounded,1,,,Schooner
Caledonia (1838) shipwreck (1838),1838,Cape May,Grounded in gale,0,,,Sloop
Caledonia (1844) shipwreck (1844),1844,New Jersey coast,Capsized in gale,8,,,Schooner
Calvin P Harris (1872) shipwreck (1872),1872,Squan Beach,Unknown,0,,,Schooner 3 masted
Calvin P Harris (1877) shipwreck (1877),1877,Barnegat,Fire in rigging/foremast,0,,,Schooner 3 masted
Calvin S Edwards shipwreck (1891),1891,Atlantic City,Lost sails; Abandoned,0,2000.0,1800.0,Schooner
Cambria shipwreck (1920),1920,"Jersey City, NJ",Burned,0,,,Steamship
Cambusdoon shipwreck (1886),1886,Highands S 20 mi,"Collision w/ ""Charlotte Webb No 5""",0,,,Bark
Camilla shipwreck (1856),1856,Cold Spring Bar,Grounded,0,3600.0,,Schooner
Camilla May Page shipwreck (1927),1927,Little Egg Harbor,Lost in a storm,8,,,Schooner
Campbell shipwreck (1879),1879,Great Egg Harbor E 50 mi,Dismasted in gale; In distress,0,,,Schooner
Campbell shipwreck (1984),1984,Pacific Ocean,Sunk as target,0,,,Cutter
Candi shipwreck (1986),1986,Island Beach State Park,Grounded,0,,,Ketch
Canima shipwreck (1875),1875,"Highlands, NJ","Collision w/ ""Joseph G Bennett""",0,,,Steamship
Cannon Wreck shipwreck (unknown),Unknown,Barnegat E 8 mi,Unknown,0,,,Unknown
Canton (1817) shipwreck (1817),1817,Cape May,Grounded,0,,,Sloop
Canton (1841) shipwreck (1841),1841,Little Egg Harbor Inlet,Collision,0,,,Brig
Cape Cod shipwreck (1926),1926,Cape May Overfalls Lightship N 4 mi,"Collision w/ ""W M Irish""",0,550000.0,229806.0,Tanker steam
Cape Fear shipwreck (unknown),Unknown,Unknown,Unknown,0,,,Trawler
Cape Hatteras shipwreck (2013),2013,Great Egg Inlet; Ocean City E 1m,Foundered in storm,1,,,Recreational tow boat
Cape May (1935) shipwreck (1935),1935,Philadelphia Harbor,"Collision w/ ""London Corporation""",0,,,Ferry boat
Cape May (1962) shipwreck (1962),1962,Cape Henlopen,Unknown,0,,,Pilot boat
Caprice No 15 (1878) shipwreck (1878),1878,Barnegat,Foundered,1,,,Pilot boat
Caprice No 15 (1890) shipwreck (1890),1890,Lower New York Bay,Stranded in snow storm,0,,,Pilot boat
Capricorn shipwreck (1981),1981,Barnegat Inlet,Rammed Jetty,0,,,Unknown
Capt Mathiasen shipwreck (1954),1954,Atlantic City,Boiler exploded,0,,,Tug to yacht
Capt O J Riggs shipwreck (2009),2009,Barnegat Light E 20 mi,Engine fire; sank,0,,,Scallop boat
Capt Smitty shipwreck (1956),1956,Lavallette E 1.25 mi,Stranded,0,,,Motor vessel
Captain Joe shipwreck (2008),2008,Pt Pleasant Beach E 30 mi,Foundered; sank,0,,,Pleasure boat
Car Float shipwreck (unknown),Unknown,Atlantic City E 5 mi,Unknown,0,,,Barge
Carabasset shipwreck (1840),1840,Highland Light N 1 mi,Grounded,2,,,Brig
Caravel shipwreck (1938),1938,Hereford Inlet,Stranded,0,,,Yacht motor
Carbon shipwreck (1902),1902,Cold Spring LSS SSE 6.5 mi,Burned; Abandoned,0,5000.0,4500.0,Schooner - Barge
Cardiff shipwreck (1856),1856,Corsons Inlet bar,Grounded,0,,,Brig
Carina Madre shipwreck (1873),1873,Shark River Inlet,Wrecked,0,,,Bark
Carissa II shipwreck (1974),1974,Barnegat Inlet E 19 mi,Broken cooling hose,0,,,Cabin cruiser
Carlo shipwreck (1838),1838,Long Beach Island,Foundered,0,,,Ship
Carlos Alberto shipwreck (1857),1857,Barnegat Inlet N 11.5 mi,Stranded,3,,,Brig
Carlotta (1867) shipwreck (1867),1867,Squan Inlet,Foundered,0,,,Schooner
Carmelita shipwreck (1857),1857,Brigantine Beach,Wrecked,0,25500.0,,Schooner
Caro shipwreck (1884),1884,Scotland Lightship,"Collision w/ ""Josephine""",0,,,Bark
Carol and Gail shipwreck (1971),1971,Point Pleasant Beach,Foundered,0,,,Motor vessel diesel
Carol Kay shipwreck (1954),1954,BeacH Haven SE 14 mi,"Collision w/ ""Slovenija""",0,6000.0,,Cabin cruiser
Carolina (1842) shipwreck (1842),1842,Long Beach Island,Stranded,1,,,Schooner
Carolina (1918) shipwreck (1918),1918,Sandy Hook SE 125 mi,Unknown,0,,,Passenger cargo ship
Caroline (1836) shipwreck (1836),1836,Barnegat,"Collision w/ ""Superior"" in fog",0,,,Sloop
Caroline (1837) shipwreck (1837),1837,Unknown,Capsized,3,,,Sloop
Caroline (1849) shipwreck (1849),1849,Hereford Inlet bar,Stranded,0,,,Schooner
Caroline (1881) shipwreck (1881),1881,Man Killer Island,Unknown,0,300.0,,Sloop
Caroline Augusta shipwreck (1877),1877,Tuckers Beach,Grounded,0,5000.0,,Schooner
Caroline Hall shipwreck (1870),1870,Pecks Beach,Stranded,0,,,Schooner
Caroline Young shipwreck (1886),1886,Cold Spring Bar,Foundered,0,5000.0,2000.0,Schooner
Carolinian shipwreck (1826),1826,Cape May,Driven out to sea,0,,,Ship
Carrara shipwreck (1888),1888,Squan Beach N 1 mi,Stranded,1,8000.0,1750.0,Bark
Carrie shipwreck (1904),1904,Seagirt E 6 mi,Foundered; abandoned,0,,,Schooner - Barge
Carrie A Lane shipwreck (1888),1888,New Jersey coast,"Collision w/ ""Newport""",0,,,Schooner
Carrie C Miles shipwreck (1907),1907,Sandy Hook LSS NE 3 mi,Stranded,0,2500.0,1200.0,Schooner
Carrie Clark shipwreck (1921),1921,Highlands Light NW,Foundered,3,,,Schooner - Barge
Carrie D Allen shipwreck (1879),1879,Sandy Hook,Lost sails & anchor in gale,0,,,Schooner
Carrie E Look shipwreck (1916),1916,Perth Amboy,Foundered,0,,,Schooner
Carrie Gibbs shipwreck (1872),1872,Turtle Gut Inlet,Grounded,0,,,Schooner
Carrie L shipwreck (1911),1911,Little Beach LSS S 1.5 mi,Grounded,0,3000.0,,Schooner
Carrie Purington shipwreck (1883),1883,Barnegat N 20 mi,Lost the deck cargo,0,,,Brig
Carrie S Hart shipwreck (1881),1881,Cape May Point,Stranded,0,25000.0,,Schooner 3 masted
Carrie S Webb (1872) shipwreck (1872),1872,Turtle Gut Bar,Stranded,0,15000.0,40000.0,Schooner
Carrie S Webb (1877) shipwreck (1877),1877,Sandy Hook,Stranded,0,,,Schooner
Carrie S Webb (1881) shipwreck (1881),1881,Unknown,Stranded,0,,,Schooner
Carrie Sanders shipwreck (1879),1879,Sandy Hook Romer Shoal,Stranded,0,,,Schooner
Carrie Winslow shipwreck (1878),1878,New York Bay,Collision,2,,,Brig
Carroll shipwreck (1930),1930,Cape May,Foundered,4,,,Schooner - Barge
Cartegena (05/1865) shipwreck (1865),1865,Cape May,Stranded,0,,,Schooner
Cartegena (12/1865) shipwreck (1865),1865,Two Mile Beach,Unknown,0,,,Schooner
Caspian shipwreck (1837),1837,Delaware Bay,Grounded,0,,,Schooner
Cassandra (1867) shipwreck (1867),1867,Brigantine Shoal,Stranded,0,,,Steamship
Cassandra (1957) shipwreck (1957),1957,New Jersey coast,Burned,0,,,Yacht
Cassie shipwreck (1917),1917,Sandy Hook,Stranded,0,,,Barge
Castalia shipwreck (1880),1880,"Highlands, NJ",Grounded in storm,0,12000.0,94000.0,Brig
Castle Del Key shipwreck (1705),1705,Sandy Hook,Foundered,132,,,Privateer
Castleton shipwreck (1901),1901,"Long Branch, NJ",Wrecked,0,,,Barge
Catalone shipwreck (1908),1908,"Gedney Channel, NY Harbor entrance","Collision w/ ""Daghestan"" in fog",0,,,Steam freighter
Catamount USS shipwreck (1943),1943,Ambrose Light,Explosion,9,,,Patrol boat
Caterina shipwreck (1912),1912,Barnegat LSS NE 1.75 mi,Stranded,0,12000.0,10000.0,Bark
Catharine shipwreck (1855),1855,Cape May,"Collision w/ ""Sarah""",0,,,Schooner
Catherine H Brown shipwreck (1851),1851,Long Beach Island,Capsized in storm,0,,,Schooner
Catherine Jackson shipwreck (1870),1870,Squan Beach,Foundered,0,,,Brig
Catherine L Brown shipwreck (1947),1947,Cape May,Foundered,0,,,Schooner diesel
Catherine W May shipwreck (1877),1877,Egg Harbor bar,Damaged in gale,0,,,Schooner
Catherine Whiting shipwreck (1886),1886,Highlands,Damaged in storm,0,,1200.0,Steamship
Cato (1808) shipwreck (1808),1808,Sandy Hook,Stranded,0,,,Merchantman
Cato (1828) shipwreck (1828),1828,Sandy Hook,Foundered in storm,6,,,Brig
Catonsville shipwreck (1928),1928,Barnegat Light,Foundered,4,,,Schooner - Barge
Cavalier (1879) shipwreck (1879),1879,Sandy Hook SE 35 mi,"Collision w/ ""William R Huston""",0,,,Schooner
Cavalier (1899) shipwreck (1899),1899,Spermaceti Cove LSS S 1 mi,Stranded,0,5000.0,4000.0,Schooner 3 masted
Cayru shipwreck (1942),1942,Stone Harbor E 39 mi,Torpedoed by U-94,38,,,Freighter steam
Cearense shipwreck (1906),1906,Island Beach LSS NNE 1.5 mi,Stranded in snow storm,0,150000.0,1600000.0,Steamship
Cecil P Stewart shipwreck (1927),1927,Harvey Cedars LSS NE 1 mi,Stranded,0,50000.0,75000.0,Schooner
Cecila M Dunlap shipwreck (1931),1931,Highlands Lights E 3.25 mi,Sank,0,,,Barge
Celeste shipwreck (1842),1842,Absecon Beach,Stranded,0,,,Schooner
Celina shipwreck (1886),1886,Absecon,"Collision w/ ""Jonathan Bourne""",0,,,Schooner 3 masted
Centennial #7 (1877) shipwreck (1877),1877,"Long Branch, NJ",Lost sails & spars,0,10000.0,,Pilot schooner
Centennial #7 (1888) shipwreck (1888),1888,Sandy Hook Horseshoe,Caught in ice,0,10000.0,,Pilot schooner
Centennial #7 (1889) shipwreck (1889),1889,Sandy Hook LSS N .5 mi,Lost sails & spars,0,10000.0,,Pilot schooner
Centennial (1878) shipwreck (1878),1878,Little Egg LSS E .5 mi,Stranded,0,75.0,,Schooner
Centennial (1888) shipwreck (1888),1888,Egg Harbor Inlet North bar,Stranded,0,,,Schooner
Centennial (1895) shipwreck (1895),1895,Absecon Inlet outer bar,Stranded,0,3000.0,800.0,Schooner
Centipede shipwreck (1901),1901,New Jersey coast,Abandoned at sea,0,,,Barge
Centurion shipwreck (1892),1892,Sandy Hook LSS NW .25 mi,Stranded,0,450.0,100.0,Sloop
Cephas Starrett shipwreck (1886),1886,Unknown,Sprang a leak,0,,,Schooner 3 masted
Chaires shipwreck (1856),1856,Barnegat Shoal,Stranded,0,,,Bark
Chalmette shipwreck (1913),1913,Barnegat LSS SW 1.25 mi,Stranded,0,221335.0,24000.0,Passenger liner
Champion (1853) shipwreck (1853),1853,Marcus Hook,Sank,0,,,Schooner
Champion (1879) shipwreck (1879),1879,Delaware Lightship E 15 mi,"Collision w/ ""Lady Octavia""",31,100000.0,100000.0,Sidewheel steam
Chance (1757) shipwreck (1757),1757,"Gloucester Point, VA",Overset by ice,0,,,Snow
Chance (1771) shipwreck (1771),1771,Cape May,Stranded in snow storm,0,,,Snow
Chapparra shipwreck (1918),1918,Barnegat SE 10 mi,Unknown,0,,,Freighter
Charlemagne Tower Jr shipwreck (1914),1914,Barnegat N 6 mi,Unknown,0,,,Transport steam
Charles A Briggs shipwreck (1891),1891,Barnegat Shoal,Stranded,0,18000.0,,Schooner
Charles A Campbell shipwreck (1926),1926,Bayonne,Abandoned,0,,,Schooner
Charles A Coulomb shipwreck (1885),1885,Cape May,Lost sails & spar in gale,0,10000.0,35000.0,Schooner
Charles A Hoard shipwreck (1885),1885,Sandy Hook Romer Shoal,Stranded,0,10000.0,8000.0,Brig
Charles A Keeler shipwreck (1840),1840,Squan Beach,Grounded,0,,,Schooner
Charles A Moller shipwreck (1872),1872,Sandy Hook Swash Channel,Leaking; Abandoned,2,,,Schooner
Charles Albert shipwreck (1857),1857,Barnegat Inlet N 11.5 mi,Stranded,3,,,Brig
Charles C Dame shipwreck (1884),1884,Manasquan Inlet South Jetty,Grounded in storm,0,36000.0,,Schooner 3 masted
Charles C Havens shipwreck (1923),1923,"South Amboy, NJ",Burned,0,,,Motor vessel gas
Charles C McIlvaine shipwreck (1923),1923,"South Amboy, NJ",Burned,0,,,Barge
Charles Colgate (1856) shipwreck (1856),1856,Brigantine Shoal,Stranded in storm,0,,,Schooner
Charles Colgate (1858) shipwreck (1858),1858,Squan Beach,Stranded in storm,0,,,Schooner
Charles Cranmer shipwreck (1856),1856,Squan Beach E 10 mi,Burned,0,,,Schooner
Charles D Ellis shipwreck (1851),1851,Egg Harbor Light E 9 mi,"Collision w/ ""Brother Jonathan""",0,,,Schooner
Charles Dennis shipwreck (1880),1880,Delaware Bay,Crushed in ice,0,,,Schooner
Charles Dunlap shipwreck (unknown),Unknown,Unknown,Unknown,0,,,Unknown
Charles E Balch (A) shipwreck (1886),1886,Sandy Hook Flynn's Knoll N 2 mi,Stranded,0,40000.0,5600.0,Schooner
Charles E Balch (B) shipwreck (1886),1886,Townsends Inlet South bar,Stranded,0,40000.0,14000.0,Schooner
Charles E Jackson shipwreck (1875),1875,Deal Beach; Long Branch LSS S 3 mi,Stranded,0,18000.0,,Schooner
Charles E Page shipwreck (1860),1860,Squan Inlet S 2.5 mi,Stranded,0,,,Schooner
Charles E Pope shipwreck (1867),1867,Squan Beach,Wrecked,0,,,Schooner
Charles E Raymond shipwreck (1872),1872,Cape May NNW 7 mi,"Collision w/ sunken ""Harry Conrad""",0,,,Schooner
Charles F Mayer (1885) shipwreck (1885),1885,Sandy Hook S 17 mi,"Collision w/ ""Howard Williams""",0,,,Steamship
Charles F Mayer (1887) shipwreck (1887),1887,"Chadwick, NJ",Stranded in gale,0,165000.0,,Steamship
Charles F Prichard shipwreck (1937),1937,Atlantic City SE 11.5 mi,Foundered while in tow,0,,,Barge
Charles H Baxter shipwreck (1950),1950,"South Amboy, NJ",Burned after explosion,0,,,Barge
Charles H Marshall shipwreck (1889),1889,Sandy Hook LSS S 11.5 mi,Stranded,0,6000.0,,Schooner
Charles H Pool shipwreck (1867),1867,Great Egg Harbor bar,Stranded,0,,,Brig
Charles H Valentine shipwreck (1885),1885,Sandy Hook Point,Stranded,0,40000.0,4000.0,Schooner 3 masted
Charles Haskell shipwreck (1885),1885,Sandy Hook LSS SW 1 mi,Dragged Anchors in gale,0,5000.0,,Schooner
Charles J Hooper shipwreck (1948),1948,Barnegat Light E 8 mi,Foundered,0,,,Schooner - Barge
Charles J String shipwreck (1894),1894,Ocean City LSS ESE 2 mi,Grounded,0,5000.0,1500.0,Schooner
Charles K Buckley shipwreck (1914),1914,"Long Branch, NJ",Stranded,8,10000.0,6200.0,Schooner 3 masted
Charles Kennedy Jr shipwreck (1944),1944,"Elizabethport, NJ",Foundered,0,,,Steamship
Charles L Davenport (1895) shipwreck (1895),1895,Tathams Beach South End,Stranded,0,60000.0,,Schooner
Charles L Davenport (1900) shipwreck (1900),Unknown,Sandy Hook,Fire,0,60000.0,,Schooner
Charles L Lawrence shipwreck (1875),1875,Atlantic City LSS E,Stranded,0,4000.0,1000.0,Schooner
Charles L Mitchell shipwreck (1896),1896,Cold Spring Inlet North bar,Stranded in snow storm,0,10000.0,7000.0,Schooner
Charles Lawrence shipwreck (1883),1883,Barnegat,"Collision w/ ""Alps""",0,,,Schooner 3 masted
Charles Lee shipwreck (1885),1885,Five Fathom Bank,Unknown,0,,,Tug
Charles Loring shipwreck (1907),1907,Sandy Hook,"Collision w/ ""Seneca""",0,,,Bark
Charles M Kelley (4/1900) shipwreck (1900),1900,Brigantine Inlet,Stranded,0,3000.0,,Sloop
Charles M Kelley (5/1900) shipwreck (1900),1900,Atlantic City LSS N 1.5 mi,Stranded,0,3000.0,800.0,Sloop
Charles M Newins (1881) shipwreck (1881),1881,Barnegat LSS E 1 mi,Grounded,0,10000.0,5000.0,Schooner
Charles M Newins (1886) shipwreck (1886),1886,Barnegat SE 20 mi,Burned; Abandoned,0,10000.0,,Schooner
Charles Milton shipwreck (1889),1889,Little Egg Harbor,Grounded,0,1500.0,125.0,Sloop
Charles Morford shipwreck (1888),1888,Barnegat,Dismasted,0,,,Schooner 3 masted
Charles Morgan shipwreck (1844),1844,Unknown,Lost at sea,0,,,Pilot boat
Charles P Notman shipwreck (1900),1900,Cape May,"Collision w/ ""Colorado""",0,,,Schooner
Charles P Sinnickson shipwreck (1886),1886,Barnegat E,Lost rudder,0,6500.0,1500.0,Schooner 3 masted
Charles Pitman shipwreck (1845),1845,Sandy Hook Romer Shoal,Grounded; Bilged,0,,,Schooner
Charles Platt shipwreck (1886),1886,Barnegat S 3 mi,Stranded,0,25000.0,50000.0,Bark
Charles R Stone shipwreck (1924),1924,Bayonne,Burned,0,,,Steamship
Charles Thomas shipwreck (1868),1868,Sandy Hook Flynn Knoll,"Collision w/ ""General Meade""",0,150000.0,,Steamship
Charles W Alcott shipwreck (1912),1912,Unknown,Unknown,0,7200.0,1600.0,Schooner
Charles W Church shipwreck (1913),1913,Barnegat Inlet E 5 mi,Collision,0,10000.0,4400.0,Schooner
Charles W Davis shipwreck (1909),1909,Cold Spring Inlet North bar,Stranded,0,5000.0,655.0,Barge
Charles W Parker shipwreck (1907),1907,Atlantic City LSS SE .75 mi,Stranded,0,2000.0,,Schooner
Charles Will shipwreck (1868),1868,Sandy Hook,Stranded,0,,,Schooner
Charles Wilma shipwreck (1942),1942,"Bivalve, NJ",Burned,0,,,Motor vessel gas
Charlestown shipwreck (1766),1766,Delaware Bay Branclawine Bank,Unknown,0,,,Unknown
Charlotte (1836) shipwreck (1836),1836,Cape May,Wrecked,0,,,Brig
Charlotte (1869) shipwreck (1869),1869,Sandy Hook Horseshoe,Grounded,0,,60000.0,Brig
Charlotte (1872) shipwreck (1872),1872,Sandy Hook,Damaged in gale,0,,60000.0,Brig
Charlotte (1931) shipwreck (1931),1931,Sea Girt Light,Stranded,0,,,Motor vessel gas
Charlotte A Maxwell shipwreck (1923),1923,Sandy Hook Shoal,Stranded,0,,,Schooner 3 masted
Charlotte Brown shipwreck (1885),1885,Seabright LSS S 1.25 mi,Stranded,0,6000.0,500.0,Schooner Fishing
Charlotte T Sibley shipwreck (1884),1884,Absecon Inlet E 15 mi,Lost sails in gale,0,,,Schooner
Charlotte Webb No 5 (1884) shipwreck (1884),1884,Sandy Hook S 25 mi,"Collision w/ ""Alisa""",0,,,Pilot schooner
Charlotte Webb No 5 (1886) shipwreck (1886),1886,Navasink SSE 20 mi,"Collision w/ ""Cambusdoon""",0,,,Pilot schooner
Charlotte Webb No 5 (1889) shipwreck (1889),1889,Sandy Hook Light ESE 18 mi,"Collision w/ ""La Normandie""",2,,,Pilot schooner
Charlou shipwreck (1929),1929,"Bordentown, NJ",Burned,0,,,Motor vessel gas
Charming Nancy shipwreck (1784),1784,Cape May,Stranded in gale,0,,,Merchantman
Charming Peggy (1752) shipwreck (1752),1752,Sandy Hook,Grounded in gale,0,,,Schooner
Charming Peggy (1767) shipwreck (1767),1767,Marcus Hook,Grounded in ice storm,0,,,Sloop
Charres shipwreck (1850),1850,Barnegat Shoal,Wrecked,0,,,Bark
"Chauncey Jerome, Jr shipwreck (1854)",1854,Long Branch N,Stranded in fog,0,,,Passenger liner
Cheaton shipwreck (1872),1872,Barnegat,Lost sails,0,,,Schooner
Cheektowaga shipwreck (1923),1923,Brigantine Shoal,Stranded,0,,,Tug
Chelwood Beacon shipwreck (1966),1966,Sandy Hook Light E 2 mi,Stranded,0,,,Tanker
Cherokee (1843) shipwreck (1843),1843,New Jersey coast,Foundered; Abandoned,0,,,Schooner
Cherokee (1906) shipwreck (1906),1906,Brigantine Shoal,Grounded in fog,0,200000.0,100000.0,Steamship
Cherokee (1918) shipwreck (1918),1918,Fenwick Island Light NNE 12.5 mi,Unknown,0,,,Tug
Chesapeake (1913) shipwreck (1913),1913,Barnegat Light,In distress,0,150000.0,150000.0,Steamship
Chesapeake (1981) shipwreck (1981),1981,Barnegat Light E 14 mi,Burned,0,,,Fishing boat
Chester (1849) shipwreck (1849),1849,Barnegat Beach,Stranded,0,,,Bark
Chester (1917) shipwreck (1917),1917,"Lincoln Park, NJ","Collision w/ ""Delaware""",0,35000.0,6000.0,Steamship
Chestina Redman shipwreck (1891),1891,Shrewsbury Rocks,Stranded,0,30000.0,10000.0,Bark
Chicopee shipwreck (1869),1869,"Maurice River, NJ",Burned,0,,,Steamship
Chief shipwreck (1860),1860,Barnegat Inlet N 4.5 mi,Wrecked,0,,,Schooner
Chimo shipwreck (1875),1875,Townsends Inlet N 3 mi,Stranded,0,10000.0,5500.0,Schooner
China (1805) shipwreck (1805),1805,"Five Fathom Bank, Cape May",Sank,0,,500000.0,Merchantman
China (1856) shipwreck (1856),1856,Sandy Hook,Capsized,0,,,Brig
China Arrow shipwreck (1942),1942,"Winter Quarter Shoal, VA E",Unknown,0,,,Tanker
China Wreck shipwreck (1880),1880,Delaware Breakwater E 3.5 mi,Foundered in storm,13,,,Bark
Choapa shipwreck (1944),1944,Long Branch E 9.5 mi,Collision w/ 3 ships,0,,,Freighter steam
Chocorua shipwreck (1898),1898,Brigantine Shoal,Stranded,0,3000.0,700.0,Schooner
Choctaw (1843) shipwreck (1843),1843,Sandy Hook Point,Stranded,0,,,Schooner
Choctaw (1949) shipwreck (1949),1949,Sea Girt E 12 mi,Foundered,0,,,Motor vessel diesel
Chrissy James shipwreck (1975),1975,Manasquan Inlet South Jetty,Lost power; Stranded,0,45000.0,,Dragger
Christian Bergh shipwreck (1949),1949,Highlands S .5 m,Stranded,0,,,Freighter Liberty
Christian Bergh No 16 shipwreck (1871),1871,Highlands E,Collision w/ schooner,0,,,Pilot schooner
Christiania shipwreck (1866),1866,Sandy Hook E 6 mi,"Collision w/ ""North American""",4,,,Brig
Christine Ann shipwreck (1983),1983,Atlantic City,Sank,3,,,Clam boat
Cienfuegos (1875) shipwreck (1875),1875,"Cape Henlopen, DE E 3 mi",Hull pierced,0,8000.0,24000.0,Bark
Cienfuegos (1922) shipwreck (1922),1922,Barnegat Buoy,Foundered,0,,,Schooner - Barge
Cinderella shipwreck (1866),1866,Unknown,Wrecked,0,,,Schooner
Circassian shipwreck (1869),1869,Squan Beach,Stranded,0,,,Steamship
Cissie Wright shipwreck (1881),1881,Cape May LSS E 1.25 mi,Grounded,0,25000.0,,Schooner
Citation shipwreck (1971),1971,Brigantine Beach,Stranded,0,175000.0,,Yacht sail
Citizen shipwreck (1822),1822,Brigantine Shoal E 3 mi,Wrecked,0,,,Merchantman
City of Athens shipwreck (1918),1918,Hereford E 20 mi,"Collision w/ ""La Glorie""",67,,,Passenger liner
City of Georgetown shipwreck (1913),1913,Five Fathom Bank Lightship,Unknown,0,,,Schooner
City of Mexico shipwreck (1875),1875,Highlands S 30 mi,"Collision w/ ""Virgin De Montserrat""",0,,,Steamship
City of New York shipwreck (1879),1879,Barnegat S 18 mi,"Collision w/ ""Helen""",0,,,Steamship
City of Norwich shipwreck (1866),1866,"Huntington, NJ E 3 mi",Wrecked,0,,,Bark
City of Perth shipwreck (1963),1963,Asbury Park E 5 mi,"Collision w/ ""Pinta""",0,,,Steamship
City of Richmond shipwreck (1883),1883,Sandy Hook LSS SE 1.75 mi,Stranded in fog,0,700000.0,180000.0,Steamship
City of Savannah shipwreck (1889),1889,Sandy Hook Lightship,"Collision w/ ""Lester A Lewis""",0,,,Stern paddle steamship
City Services Empire shipwreck (1942),1942,Unknown,Unknown,0,,,Unknown
Civita Carrara shipwreck (1888),1888,Manasquan Inlet,Sank,1,,,Bark
Civonney shipwreck (1983),1983,NJ Coast E 270 mi,Burned & sank,0,,,Freighter
Clara (1882) shipwreck (1882),1882,"Port Johnson, NJ",Collision,1,,,Steamship
Clara (1906) shipwreck (1906),1906,Mantaloking LSS S 1 mi,Stranded,0,150000.0,350000.0,Steamship
Clara (1922) shipwreck (1922),1922,Barnegat SE 11 mi,Foundered,0,,,Schooner
Clara Belle shipwreck (1872),1872,"Highlands, NJ",Wrecked,0,,,Schooner
Clara Brookman shipwreck (1857),1857,Squan Inlet S 4.5 mi,Stranded and broke up,4,55000.0,140000.0,Schooner 3 masted
Clara C Frey shipwreck (1871),1871,"Cranberry Inlet, NJ",Grounded,0,,,Schooner
Clara Davidson (1872) shipwreck (1872),1872,Great Egg Harbor,Stranded,0,,,Schooner
Clara Davidson (1873) shipwreck (1873),1873,Cape May Cox's Shoal,Stranded,0,12000.0,3000.0,Schooner
Clare Lorraine shipwreck (1987),1987,Hudson Canyon,"Collision w/ ""Torm Venture""",0,535000.0,,Fishing trawler
Clarella II shipwreck (1930),1930,Cape May,Burned,0,,,Motor vessel
Clarence H Venner shipwreck (1905),1905,Avalon LSS E 1 mi,Stranded,0,40000.0,,Schooner
Clarendon shipwreck (1815),1815,Sandy Hook,Stranded,0,,,Passenger liner
Clarissa and Mary shipwreck (1838),1838,Absecon bar,Grounded,0,,,Schooner
Clarita shipwreck (1893),1893,Sandy Hook Point,Stranded,0,1500.0,,Sloop - Yacht
Claudia V (1898) shipwreck (1898),1898,Great Egg Harbor SW 2 mi,Stranded,0,1800.0,,Schooner
Claudia V (1900) shipwreck (1900),1900,Great Egg LSS WSW .75 mi,Stranded,0,1800.0,,Schooner
Claverdale shipwreck (1902),1902,South Brigantine LSS SE 2 mi,Stranded in fog,0,200000.0,300000.0,Steamship
Clayton Frame shipwreck (1886),1886,Monmouth Beach LSS N 1 mi,Grounded,0,1200.0,800.0,Schooner
Cleopatra (1889) shipwreck (1889),1889,Delaware Capes,"Collision w/ ""Crystal Wave""",0,25000.0,,Freighter steam
Cleopatra (1964) shipwreck (1964),1964,Sandy Hook,Grounded,0,,,Steamship
Clepsyda shipwreck (1839),1839,Cold Spring Bar,Grounded,0,,,Schooner
Climax shipwreck (1934),1934,"Jersey City, NJ",Burned,0,,,Steamship
Clodian shipwreck (1886),1886,Barnegat,Struck by lightening,0,,,Bark
Clyde (1853) shipwreck (1853),1853,Sandy Hook Inside,Wrecked,0,,,Ship
Clyde (1875) shipwreck (1875),1875,Barnegat Light E 4.5 mi,Foundered,0,,,Schooner
Clydesdale shipwreck (1884),1884,Brigantine Shoal,Stranded in fog,0,,,Steamship
Coal Barge shipwreck (1911),1911,Cape May E 30 mi,"Broke away from ""USS Vulcan""",0,10000.0,,Coal barge
Coamo (A) shipwreck (1917),1917,Barnegat,Stranded,0,,,Steamship
Coamo (B) shipwreck (1917),1917,Scotland Lightship S 15 mi,"Collision w/ ""Allentown""",0,,,Steamship
Coast Guard Patrol Boat shipwreck (1968),1968,"Wildwood, NJ",Stranded during rescue attempt,0,30000.0,,Patrol boat
