Vessel Name,Date of Wreck,Event,Location of wreck,Tonnage,Length (FT),Breadth (FT),depth (ft),Masts,Decks,Hull,Description,Story,Vessel Type,Type of event,Nature of Event,Cause of Event,Cargo,Lives Lost,Voyage from,Voyage To,Remarks,Built At,Date Built,Official Number,Registered at,Date Registered,Propulsion,Rig,Details
Dot - 1874,1874-01-25,Stranded,"Sluice Point, near Tusket Island",,,,,,,,,,,,,,,,,,,,,,,,,,
Meteor - 1874,1874-10-06,Stranded,"Sloans Ledges, Gulf of Canso",,,,,,,,,,,,,,,,,,,,,,,,,,
Vigilance - 1880,1880-08-26,Stranded,"Skinners Reef, near Pictou",,,,,,,,,,,,,,,,,,,,,,,,,,
Tegean - 1966,1966-11-28,Stranded,"Sisters Shoal, near Sambro Island",,,,,,,,,,,,,,,,,,,,,,,,,,
J. P. Blake - 1879,1879-08-01,Stranded,Sisters Rock,,,,,,,,,,,,,,,,,,,,,,,,,,
City Of Brunswick - 1921,1921-08-26,Stranded,"Sisters Ledge, Sambro",,,,,,,,,,,,,,,,,,,,,,,,,,
Romsdalsfjord - 1920,1920-12-10,Stranded,"Sisters Ledge, near Sambro",,,,,,,,,,,,,,,,,,,,,,,,,,
Palma - 1903,1903-04-03,Stranded,"Sissiboo River, Weymouth",,,,,,,,,,,,,,,,,,,,,,,,,,
Darby - 1906,1906-12-01,Stranded,"Sissiboo River, stonework at Campbells Wharf",,,,,,,,,,,,,,,,,,,,,,,,,,
Rival - 1890,1890-11-08,Stranded,"Simonds Point, Gabarus Bay",,,,,,,,,,,,,,,,,,,,,,,,,,
Mizpah - 1887,1887-05-26,Stranded,"Simon Point, Gabarus Bay",,,,,,,,,,,,,,,,,,,,,,,,,,
Moldegaard - 1925,1925-05-01,Stranded,"Shut-In Island, Three Fathom Harbour, N of",,,,,,,,,,,,,,,,,,,,,,,,,,
Lilian - 1883,1883-01-05,Stranded,"Shut-In Island, Three Fathom Harbour",,,,,,,,,,,,,,,,,,,,,,,,,,
Sailor`s Fancy - 1891,1891-10-10,Stranded,"Shut-In Island, St Margarets Bay",,,,,,,,,,,,,,,,,,,,,,,,,,
Enterprise - 1879,1879-04-18,Collision,"Shut-In Island, off",,,,,,,,,,,,,,,,,,,,,,,,,,
Advance - 1923,1923-07-02,Stranded,"Shut-In Island, eastern end",,,,,,,,,,,,,,,,,,,,,,,,,,
Sparkling Water - 1876,1876-12-20,Stranded,Shut-In Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Sally Bowes - 1979,1979-11-13,Wrecked,Shut-In Island,,,,,,,,,,,,,,,,,,,,,,,,,,
HMCS Middlesex - 1946,1946-12-02,Grounded,Shutin Island,,,,,,,,,,,,,,,,,,,,,,,,,,
J. W. Durant - 1890,1890-12-01,Stranded,Shulie,,,,,,,,,,,,,,,,,,,,,,,,,,
Uranium - 1913,1913-01-12,Stranded,"Shoal Point, Chebucto Head",,,,,,,,,,,,,,,,,,,,,,,,,,
Retriever - 1880,1880-10-12,Stranded,Shoal Point,,,,,,,,,,,,,,,,,,,,,,,,,,
Safeguide - 1883,1883-12-04,Burnt,Shoal Bay,,,,,,,,,,,,,,,,,,,,,,,,,,
Olivia A. Carrigan - 1886,1886-09-17,Stranded,Shoal Bay,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Roy - 1947,1947-11-28,Foundered,"Ship Harbour, 10 miles E of automatic buoy",,,,,,,,,,,,,,,,,,,,,,,,,,
Annie B. - 1878,1878-11-20,Stranded,Ship Harbour Bay,,,,,,,,,,,,,,,,,,,,,,,,,,
Acuba - 1884,1884-06-09,Stranded,Ship Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominion - 1908,1908-08-21,Burnt,Ship Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
J. C. Williams - 1919,1919-11-05,Stranded,Ship Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
John A. Beckerman - 1921,1921-10-12,Abandoned,Sherbrooke,,,,,,,,,,,,,,,,,,,,,,,,,,
John A. Beckerman - 1921,1921-10-12,Wrecked,Sherbrooke,,,,,,,,,,,,,,,,,,,,,,,,,,
Reliance - 1966,1966-06-17,Collision,"Shelburne, SE of",,,,,,,,,,,,,,,,,,,,,,,,,,
Alluree - 1869,1869-11-17,Wrecked,"Shelburne, off light",,,,,,,,,,,,,,,,,,,,,,,,,,
Miss Sambro Ii - 1954,1954-02-11,Wrecked,"Shelburne, off light",,,,,,,,,,,,,,,,,,,,,,,,,,
Hopewell - 1833,1833-01-01,Wrecked,"Shelburne, off",,,,,,,,,,,,,,,,,,,,,,,,,,
Eurydice - 1890,1890-12-20,Sank,"Shelburne, off",,,,,,,,,,,,,,,,,,,,,,,,,,
London - 1847,1847-01-01,Wrecked,"Shelburne, near",,,,,,,,,,,,,,,,,,,,,,,,,,
Cranston - 1848,1848-01-01,Wrecked,"Shelburne, near",,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio - 1920,1920-10-04,Burnt,"Shelburne, 8 miles SxW of light",,,,,,,,,,,,,,,,,,,,,,,,,,
Dolly Grey - 1914,1914-02-16,Wrecked,"Shelburne, 70 miles SE of",,,,,,,,,,,,,,,,,,,,,,,,,,
Old Glory - 1947,1947-04-08,Foundered,"Shelburne, 55 miles from",,,,,,,,,,,,,,,,,,,,,,,,,,
Harvey & Sisters - 1978,1978-07-24,Sank,"Shelburne, 12 miles S of",,,,,,,,,,,,,,,,,,,,,,,,,,
Emblem - 1878,1878-11-18,Foundered,"Shelburne, 10 miles S of light",,,,,,,,,,,,,,,,,,,,,,,,,,
Dreadnot - 1877,1877-05-31,Stranded,"Shelburne Harbour, mouth of",,,,,,,,,,,,,,,,,,,,,,,,,,
Marion E. Turner - 1914,1914-05-22,Stranded,"Shelburne Harbour, entrance to",,,,,,,,,,,,,,,,,,,,,,,,,,
Corina H. Bishop - 1882,1882-12-09,Stranded,"Shelburne Harbour, East Entrance",,,,,,,,,,,,,,,,,,,,,,,,,,
Message - 1870,1870-09-03,Stranded,Shelburne Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Janie R. - 1879,1879-02-15,Stranded,Shelburne Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Orion - 1882,1882-01-02,Stranded,Shelburne Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Mildred Robinson - 1915,1915-01-13,Stranded,Shelburne Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Joan Kielberg - 1930,1930-01-23,Wrecked,Shelburne Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Myalls - 1967,1967-03-24,Wrecked,Shelburne Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonda - 1972,1972-02-02,Foundered,Shelburne Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Jody K. - 1972,1972-12-05,Grounded,Shelburne Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Jimmie And Brothers Ii - 1980,1980-12-12,Wrecked,Shelburne Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
John Black - 1876,1876-05-01,Stranded,Shelburne Bar,,,,,,,,,,,,,,,,,,,,,,,,,,
Ann - 1788,1788-01-01,Wrecked,Shelburne,,,,,,,,,,,,,,,,,,,,,,,,,,
Lady Packet - 1788,1788-01-01,Wrecked,Shelburne,,,,,,,,,,,,,,,,,,,,,,,,,,
Lord Spencer - 1800,1800-01-01,Wrecked,Shelburne,,,,,,,,,,,,,,,,,,,,,,,,,,
Bachelor - 1842,1842-01-01,Wrecked,Shelburne,,,,,,,,,,,,,,,,,,,,,,,,,,
Maria Busch - 1871,1871-04-01,Stranded,Shelburne,,,,,,,,,,,,,,,,,,,,,,,,,,
Emily Flinn - 1885,1885-12-03,Stranded,Shelburne,,,,,,,,,,,,,,,,,,,,,,,,,,
Gerald And Ronald - 1962,1962-10-10,Wrecked,Shelburne,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment - 1870,1870-09-04,Foundered,"Sheet Harbour, off",,,,,,,,,,,,,,,,,,,,,,,,,,
Providence - 1879,1879-12-29,Stranded,"Sheet Harbour, off",,,,,,,,,,,,,,,,,,,,,,,,,,
Kate C. Maguire - 1886,1886-05-01,Stranded,"Sheet Harbour, near",,,,,,,,,,,,,,,,,,,,,,,,,,
Agnes - 1897,1897-04-01,Abandoned,"Sheet Harbour, mouth of",,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie - 1882,1882-12-11,Stranded,"Sheet Harbour, entrance to",,,,,,,,,,,,,,,,,,,,,,,,,,
Georgina - 1903,1903-08-01,Foundered,"Sheet Harbour, 45 miles S of",,,,,,,,,,,,,,,,,,,,,,,,,,
Zyphyr - 1880,1880-11-11,Stranded,Sheet Harbour Passage,,,,,,,,,,,,,,,,,,,,,,,,,,
Isabella - 1846,1846-12-18,Wrecked,Sheet Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Jane Harriet - 1871,1871-01-01,Stranded,Sheet Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
John Stewart - 1875,1875-03-01,Burnt,Sheet Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Clara Rogers - 1884,1884-08-31,Stranded,Sheet Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Neptunus - 1885,1885-07-22,Stranded,Sheet Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Dido - 1908,1908-05-20,Foundered,Sheet Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Victoria - 1922,1922-11-16,Stranded,Sheet Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Carmen Nina - 1942,1942-05-28,Stranded,Sheet Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Puritan - 1905,1905-09-18,Stranded,"Shag Rocks, Andrew Passage, Strait of Canso",,,,,,,,,,,,,,,,,,,,,,,,,,
Twilight - 1884,1884-01-01,Stranded,"Shag Rock, off Cranberry Island",,,,,,,,,,,,,,,,,,,,,,,,,,
S. A. Morash - 1894,1894-08-23,Stranded,"Shag Rock, Mira Bay",,,,,,,,,,,,,,,,,,,,,,,,,,
City Of Sydney - 1914,1914-03-17,Stranded,"Shag Rock, entrance to Halifax Harbour",,,,,,,,,,,,,,,,,,,,,,,,,,
Kilmuir - 1936,1936-04-23,Foundered,"Shag Rock Reef, near Little Bras d`Or",,,,,,,,,,,,,,,,,,,,,,,,,,
No. 6 Dredge - 1917,1917-01-17,Foundered,Shag Rock,,,,,,,,,,,,,,,,,,,,,,,,,,
Ottawa - 1870,1870-10-30,Stranded,"Shag Harbour, near",,,,,,,,,,,,,,,,,,,,,,,,,,
Hope - 1838,1838-11-23,Stranded,Shag Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Ulalume - 1876,1876-10-16,Stranded,Shag Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
H. B. Griffin - 1892,1892-02-19,Burnt,Shag Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
J. J. Clark - 1897,1897-11-09,Stranded,Shag Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Diana - 1913,1913-11-12,Grounded,Shag Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Lark - 1889,1889-09-14,Stranded,Shad Bay,,,,,,,,,,,,,,,,,,,,,,,,,,
Light Of Home - 1881,1881-08-20,Stranded,Seven Islands Ledge,,,,,,,,,,,,,,,,,,,,,,,,,,
White - 1788,1788-01-01,Wrecked,"Seaton, off Cape Breton Island",,,,,,,,,,,,,,,,,,,,,,,,,,
Jennie C. - 1908,1908-01-01,Stranded,Sealeys Cove,,,,,,,,,,,,,,,,,,,,,,,,,,
Mikelson - 1904,1904-09-04,Stranded,"Seal Rocks, Gabarus Bay",,,,,,,,,,,,,,,,,,,,,,,,,,
Caluna - 1908,1908-11-10,Stranded,Seal Rock,,,,,,,,,,,,,,,,,,,,,,,,,,
Onward - 1906,1906-11-01,Stranded,Seal Ledge,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosalie - 1865,1865-09-05,Wrecked,"Seal Island, west side of new fog alarm",,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown - 1871,1871-01-01,Loss,"Seal Island, west side of bar",,,,,,,,,,,,,,,,,,,,,,,,,,
Morning Light - 1877,1877-06-10,Stranded,"Seal Island, west side of",,,,,,,,,,,,,,,,,,,,,,,,,,
Mary Alice - 1865,1865-01-01,Wrecked,"Seal Island, West Side",,,,,,,,,,,,,,,,,,,,,,,,,,
Aleric - 1880,1880-01-01,Wrecked,"Seal Island, West Side",,,,,,,,,,,,,,,,,,,,,,,,,,
Orinoco - 1907,1907-07-26,Stranded,"Seal Island, west part of",,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander William - 1870,1870-08-12,Stranded,"Seal Island, west of",,,,,,,,,,,,,,,,,,,,,,,,,,
Alice Gertrude - 1914,1914-05-24,Stranded,"Seal Island, west of",,,,,,,,,,,,,,,,,,,,,,,,,,
Alice - 1895,1895-08-25,Stranded,"Seal Island, Vision Head",,,,,,,,,,,,,,,,,,,,,,,,,,
Bessie M. Wells - 1885,1885-01-01,Wrecked,"Seal Island, Valpy`s Cove, at north end near Race Point",,,,,,,,,,,,,,,,,,,,,,,,,,
Mary P. Harty - 1921,1921-08-08,Stranded,"Seal Island, south of Lighthouse",,,,,,,,,,,,,,,,,,,,,,,,,,
Barcelona - 1910,1910-07-25,Stranded,"Seal Island, south end of",,,,,,,,,,,,,,,,,,,,,,,,,,
Nova - 1933,1933-11-06,Wrecked,"Seal Island, south end of",,,,,,,,,,,,,,,,,,,,,,,,,,
Jedbec M. - 1955,1955-01-04,Capsized,"Seal Island, south end of",,,,,,,,,,,,,,,,,,,,,,,,,,
SS Planet Mercury - 1900,1900-01-01,Wrecked,"Seal Island, south east of",,,,,,,,,,,,,,,,,,,,,,,,,,
St. Burnard - 1902,1902-01-01,Wrecked,"Seal Island, site of west side skidway",,,,,,,,,,,,,,,,,,,,,,,,,,
Corrine - 1882,1882-11-27,Foundered,"Seal Island, shoal between Noddy Island and",,,,,,,,,,,,,,,,,,,,,,,,,,
Mascot - 1903,1903-01-28,Stranded,"Seal Island, on west side of",,,,,,,,,,,,,,,,,,,,,,,,,,
Otis P. Lord - 1900,1900-08-05,Collision,"Seal Island, off",,,,,,,,,,,,,,,,,,,,,,,,,,
Annie Perry - 1918,1918-08-05,Sank,"Seal Island, off",,,,,,,,,,,,,,,,,,,,,,,,,,
Medes - 1883,1883-08-11,Collision,"Seal Island, north of",,,,,,,,,,,,,,,,,,,,,,,,,,
Sisters - 1883,1883-08-11,Collision,"Seal Island, north of",,,,,,,,,,,,,,,,,,,,,,,,,,
Palladium - 1846,1846-05-11,Wrecked,"Seal Island, north end of",,,,,,,,,,,,,,,,,,,,,,,,,,
May Flower - 1872,1872-04-10,Stranded,"Seal Island, north end",,,,,,,,,,,,,,,,,,,,,,,,,,
Bengal - 1845,1845-01-01,Wrecked,"Seal Island, north east point of",,,,,,,,,,,,,,,,,,,,,,,,,,
Live Oak - 1876,1876-03-16,Stranded,"Seal Island, near light",,,,,,,,,,,,,,,,,,,,,,,,,,
Charles - 1898,1898-07-01,Wrecked,"Seal Island, near Cape Sable",,,,,,,,,,,,,,,,,,,,,,,,,,
Polly - 1806,1806-01-01,Wrecked,"Seal Island, near",,,,,,,,,,,,,,,,,,,,,,,,,,
Saint George - 1869,1869-04-29,Stranded,"Seal Island, near",,,,,,,,,,,,,,,,,,,,,,,,,,
Louis K. Cottingham - 1916,1916-01-01,Stranded,"Seal Island, near",,,,,,,,,,,,,,,,,,,,,,,,,,
H. B. Cousins - 1916,1916-07-24,Stranded,"Seal Island, near",,,,,,,,,,,,,,,,,,,,,,,,,,
Samuel Welsh - 1886,1886-08-23,Wrecked,"Seal Island, Locks Sloy rock",,,,,,,,,,,,,,,,,,,,,,,,,,
Energy - 1865,1865-01-01,Wrecked,"Seal Island, Little Beach, west side of island",,,,,,,,,,,,,,,,,,,,,,,,,,
Vulcan - 1830,1830-01-01,Wrecked,"Seal Island, Little Beach",,,,,,,,,,,,,,,,,,,,,,,,,,
Kent - 1835,1835-12-26,Stranded,"Seal Island, ledges at NE point of",,,,,,,,,,,,,,,,,,,,,,,,,,
John Rupe - 1865,1865-06-18,Wrecked,"Seal Island, gravel beach on west side",,,,,,,,,,,,,,,,,,,,,,,,,,
White Cloud - 1860,1860-01-01,Wrecked,"Seal Island, east side of bar at south end of island",,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown - 1781,1781-01-01,Wrecked,"Seal Island, east side",,,,,,,,,,,,,,,,,,,,,,,,,,
Loch Sloy - 1847,1847-01-01,Wrecked,"Seal Island, Devils Limb",,,,,,,,,,,,,,,,,,,,,,,,,,
Stamford - 1857,1857-01-01,Wrecked,"Seal Island, Devils Limb",,,,,,,,,,,,,,,,,,,,,,,,,,
Adriann - 1863,1863-07-01,Wrecked,"Seal Island, Devils Limb",,,,,,,,,,,,,,,,,,,,,,,,,,
Agnes Fraser - 1866,1866-01-01,Foundered,"Seal Island, Devils Limb",,,,,,,,,,,,,,,,,,,,,,,,,,
Mary Eliza - 1867,1867-01-01,Stranded,"Seal Island, Devils Limb",,,,,,,,,,,,,,,,,,,,,,,,,,
Mary Eliza - 1872,1872-01-01,Wrecked,"Seal Island, Devils Limb",,,,,,,,,,,,,,,,,,,,,,,,,,
Herat - 1892,1892-06-14,Grounded,"Seal Island, Devils Limb",,,,,,,,,,,,,,,,,,,,,,,,,,
Whiteway - 1934,1934-08-20,Stranded,"Seal Island, Devils Limb",,,,,,,,,,,,,,,,,,,,,,,,,,
Henry A. Burnham - 1890,1890-09-14,Stranded,"Seal Island, at light",,,,,,,,,,,,,,,,,,,,,,,,,,
Seretha - 1940,1940-04-21,Missing,"Seal Island, approx. 40 miles SW of",,,,,,,,,,,,,,,,,,,,,,,,,,
Allen And Brown - 1853,1853-01-01,Wrecked,"Seal Island, Allen Brown Rock in East Cove",,,,,,,,,,,,,,,,,,,,,,,,,,
Ella & Winnie - 1881,1881-10-14,Abandoned,"Seal Island, 93 miles west by north from",,,,,,,,,,,,,,,,,,,,,,,,,,
Harry - 1915,1915-05-28,Foundered,"Seal Island, 60 miles west of",,,,,,,,,,,,,,,,,,,,,,,,,,
Astra - 1884,1884-06-28,Burnt,"Seal Island, 50 Miles SW of",,,,,,,,,,,,,,,,,,,,,,,,,,
Helen Shafner - 1911,1911-01-15,Abandoned,"Seal Island, 50 miles off",,,,,,,,,,,,,,,,,,,,,,,,,,
Vesta - 1916,1916-07-21,Foundered,"Seal Island, 5 miles east of",,,,,,,,,,,,,,,,,,,,,,,,,,
Muriel - 1918,1918-08-03,Sank,"Seal Island, 45 miles WxN from",,,,,,,,,,,,,,,,,,,,,,,,,,
Rob Roy - 1918,1918-08-03,Sank,"Seal Island, 35 miles W of",,,,,,,,,,,,,,,,,,,,,,,,,,
Lucy Ann - 1883,1883-10-25,Burnt,"Seal Island, 3 miles SW from",,,,,,,,,,,,,,,,,,,,,,,,,,
Lucy Ann - 1892,1892-10-25,Burnt,"Seal Island, 3 miles SW from",,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Anderson - 1916,1916-10-01,Foundered,"Seal Island, 20 miles SWxW of",,,,,,,,,,,,,,,,,,,,,,,,,,
Arneac - 1916,1916-10-01,Foundered,"Seal Island, 20 miles SWxW of",,,,,,,,,,,,,,,,,,,,,,,,,,
Azores - 1932,1932-06-01,Wrecked,"Seal Island, 20 miles SW of",,,,,,,,,,,,,,,,,,,,,,,,,,
Muriel Jean - 1936,1936-04-29,Foundered,"Seal Island, 19 miles SW from light",,,,,,,,,,,,,,,,,,,,,,,,,,
Liverpool Packet - 1942,1942-05-30,Foundered,"Seal Island, 12 miles W of",,,,,,,,,,,,,,,,,,,,,,,,,,
Evangeline - 1889,1889-03-01,Wrecked,"Seal Island, 100 miles SW of",,,,,,,,,,,,,,,,,,,,,,,,,,
Leader - 1878,1878-04-09,Collision,"Seal Island, 10 miles WNW of",,,,,,,,,,,,,,,,,,,,,,,,,,
Cathy And Janis Ii - 1979,1979-06-25,Foundered,"Seal Island, 10 miles S of",,,,,,,,,,,,,,,,,,,,,,,,,,
Emma Marr - 1892,1892-11-27,Foundered,"Seal Island, 10 miles NW of",,,,,,,,,,,,,,,,,,,,,,,,,,
Keith & Robertson - 1932,1932-07-09,Foundered,"Seal Island, 10 miles E of",,,,,,,,,,,,,,,,,,,,,,,,,,
Pride Of The Port - 1912,1912-07-22,Stranded,Seal Island Cove,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown - 1676,1676-08-26,Wrecked,Seal Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Polly - 1781,1781-01-01,Wrecked,Seal Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Ardent - 1828,1828-01-01,Wrecked,Seal Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Vittona - 1829,1829-01-01,Wrecked,Seal Island,,,,,,,,,,,,,,,,,,,,,,,,,,
William Henry - 1831,1831-11-18,Wrecked,Seal Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Isabella - 1833,1833-01-01,Wrecked,Seal Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Serene - 1833,1833-09-01,Wrecked,Seal Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico - 1836,1836-05-13,Wrecked,Seal Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Henry Toleman - 1839,1839-01-01,Stranded,Seal Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Whitewell Grange - 1841,1841-01-01,Wrecked,Seal Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Elisha Payson - 1842,1842-01-01,Wrecked,Seal Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Joseph Pease - 1843,1843-01-01,Stranded,Seal Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Orient - 1843,1843-01-01,Wrecked,Seal Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Elizabeth - 1848,1848-01-01,Wrecked,Seal Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin - 1848,1848-05-26,Wrecked,Seal Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Perthshire - 1854,1854-01-01,Wrecked,Seal Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Perseverance - 1855,1855-01-01,Wrecked,Seal Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Zenobia - 1857,1857-01-01,Wrecked,Seal Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Treat - 1859,1859-06-18,Wrecked,Seal Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph - 1861,1861-05-08,Stranded,Seal Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Twylight - 1865,1865-01-01,Wrecked,Seal Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Mary Elizabeth - 1867,1867-01-01,Wrecked,Seal Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Enterprise - 1868,1868-01-01,Wrecked,Seal Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgie Todd - 1870,1870-12-15,Wrecked,Seal Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Kedron - 1873,1873-10-08,Stranded,Seal Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerolite - 1876,1876-06-28,Stranded,Seal Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange - 1878,1878-02-05,Stranded,Seal Island,,,,,,,,,,,,,,,,,,,,,,,,,,
J.C. Crosse - 1882,1882-01-01,Wrecked,Seal Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Pioneer - 1882,1882-07-11,Stranded,Seal Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Corinto - 1882,1882-08-17,Stranded,Seal Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Rapid - 1883,1883-08-21,Stranded,Seal Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Souviner - 1886,1886-01-01,Wrecked,Seal Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Morning Light - 1886,1886-06-10,Wrecked,Seal Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaric - 1887,1887-07-30,Stranded,Seal Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Mary E. Bent - 1887,1887-08-01,Abandoned,Seal Island,,,,,,,,,,,,,,,,,,,,,,,,,,
May Bent - 1888,1888-01-20,Burnt,Seal Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Mazeppa - 1888,1888-07-04,Stranded,Seal Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Prohibition - 1901,1901-11-29,Unknown,Seal Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Geneva May - 1913,1913-05-03,Stranded,Seal Island,,,,,,,,,,,,,,,,,,,,,,,,,,
C. A. Goreham - 1913,1913-05-30,Stranded,Seal Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Maia - 1913,1913-06-07,Stranded,Seal Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcor - 1918,1918-06-12,Stranded,Seal Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Okio - 1918,1918-07-12,Stranded,Seal Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Sangstad - 1922,1922-07-06,Stranded,Seal Island,,,,,,,,,,,,,,,,,,,,,,,,,,
George M. Cook - 1924,1924-06-29,Stranded,Seal Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Burpee L. Tucker - 1927,1927-01-12,Stranded,Seal Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Elk - 1944,1944-09-02,Stranded,Seal Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Fermont - 1991,1991-01-01,Beached,Seal Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Lord Lyons - 1884,1884-11-17,Stranded,Seal Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Universe - 1907,1907-04-25,Stranded,"Seal Cove, Whitehaven",,,,,,,,,,,,,,,,,,,,,,,,,,
L. W. Eaton - 1872,1872-10-27,Stranded,"Sea Wolf Light, (Margaree Island), off",,,,,,,,,,,,,,,,,,,,,,,,,,
Chuck And Cory - 1979,1979-04-23,Wrecked,SE Coast,,,,,,,,,,,,,,,,,,,,,,,,,,
Dreadnaught - 1902,1902-12-13,Stranded,"Sculpin Rock, 3 miles SSE of Battery Point, Lunenburg",,,,,,,,,,,,,,,,,,,,,,,,,,
Jessie - 1879,1879-04-24,Stranded,Scraggy Ledge,,,,,,,,,,,,,,,,,,,,,,,,,,
Rossignol - 1892,1892-10-08,Stranded,Scots Bay,,,,,,,,,,,,,,,,,,,,,,,,,,
J. J. Locke - 1888,1888-11-26,Stranded,Scituate Beach,,,,,,,,,,,,,,,,,,,,,,,,,,
Annie Fleming - 1877,1877-08-30,Stranded,"Schooner Pond, off",,,,,,,,,,,,,,,,,,,,,,,,,,
Independence - 1903,1903-12-27,Stranded,"Schooner Pond, off",,,,,,,,,,,,,,,,,,,,,,,,,,
Henry Buschman - 1879,1879-08-15,Stranded,"Schooner Pond, Bar at",,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia - 1887,1887-06-09,Stranded,Schooner Pond Wedges,,,,,,,,,,,,,,,,,,,,,,,,,,
Clandeboye - 1885,1885-05-16,Stranded,Schooner Pond Rock,,,,,,,,,,,,,,,,,,,,,,,,,,
The Star - 1877,1877-09-10,Stranded,Schooner Pond,,,,,,,,,,,,,,,,,,,,,,,,,,
Grey Parrot - 1884,1884-09-11,Stranded,Schooner Pond,,,,,,,,,,,,,,,,,,,,,,,,,,
Vancouver - 1890,1890-08-10,Grounded,Schooner Pond,,,,,,,,,,,,,,,,,,,,,,,,,,
I. R. Alwood - 1918,1918-05-29,Stranded,Schooner Passage,,,,,,,,,,,,,,,,,,,,,,,,,,
