Vessel Name,Date of Wreck,Event,Location of wreck,Tonnage,Length (FT),Breadth (FT),depth (ft),Masts,Decks,Hull,Description,Story,Vessel Type,Type of event,Nature of Event,Cause of Event,Cargo,Lives Lost,Voyage from,Voyage To,Remarks,Built At,Date Built,Official Number,Registered at,Date Registered,Propulsion,Rig,Details
Coral Leaf - 1911,1911-07-07,Stranded,Yarmouth Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Evelyn V. Miller - 1922,1922-10-25,Stranded,Yarmouth Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlene A. - 1972,1972-12-16,Unknown,Yarmouth Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Lady Cottreau Ii - 1974,1974-09-19,Wrecked,Yarmouth Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Don Lew - 1976,1976-02-02,Sank,Yarmouth Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Spitfire - 1976,1976-02-02,Sank,Yarmouth Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbara Dawn - 1976,1976-09-30,Sank,Yarmouth Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Hermoine - 1785,1785-01-01,Wrecked,Yarmouth,,,,,,,,,,,,,,,,,,,,,,,,,,
Star - 1842,1842-01-01,Wrecked,Yarmouth,,,,,,,,,,,,,,,,,,,,,,,,,,
Linda - 1871,1871-08-28,Stranded,Yarmouth,,,,,,,,,,,,,,,,,,,,,,,,,,
Volunteer - 1871,1871-10-12,Stranded,Yarmouth,,,,,,,,,,,,,,,,,,,,,,,,,,
Oban Bay - 1905,1905-10-15,Grounded,Yarmouth,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcaea - 1916,1916-12-23,Stranded,Yarmouth,,,,,,,,,,,,,,,,,,,,,,,,,,
City Of New York - 1952,1952-03-19,Stranded,Yarmouth,,,,,,,,,,,,,,,,,,,,,,,,,,
Patricia Louise - 1965,1965-08-15,Burnt,Yarmouth,,,,,,,,,,,,,,,,,,,,,,,,,,
Fama - 1879,1879-10-28,Stranded,Yankee Point,,,,,,,,,,,,,,,,,,,,,,,,,,
Florence - 1902,1902-06-02,Stranded,"Yankee Jack Shoal, near Sheet Harbour",,,,,,,,,,,,,,,,,,,,,,,,,,
Yankee - 1933,1933-11-22,Wrecked,Yankee Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
E. Walsh - 1891,1891-05-14,Stranded,"Yankee Cove Ledge, Whitehaven",,,,,,,,,,,,,,,,,,,,,,,,,,
Secret - 1878,1878-06-27,Foundered,"Wreck Cove, near Little Lorraine",,,,,,,,,,,,,,,,,,,,,,,,,,
Anna Anne - 1972,1972-06-10,Foundered,"Wreck Cove, Cabot Strait",,,,,,,,,,,,,,,,,,,,,,,,,,
Pearl Beatrice H. - 1927,1927-06-22,Stranded,Wreck Cove,,,,,,,,,,,,,,,,,,,,,,,,,,
Frances G. Rowe - 1944,1944-11-06,Foundered,Wreck Cove,,,,,,,,,,,,,,,,,,,,,,,,,,
Rider Ii - 1972,1972-07-19,Grounded,Wreck Cove,,,,,,,,,,,,,,,,,,,,,,,,,,
Alonzo - 1880,1880-05-26,Wrecked,Wratons Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown Terence Bay Wreck - 1754,1754-01-01,,"Wrack Cove, Terence Bay",,,,,,,,,,,,,,,,,,,,,,,,,,
Adela - 1876,1876-01-01,Stranded,"Woods Harbour, Barrington",,,,,,,,,,,,,,,,,,,,,,,,,,
Colville Bay - 1974,1974-04-03,Missing,"Woods Harbour and German Bank, between",,,,,,,,,,,,,,,,,,,,,,,,,,
Geneva Myrtis - 1895,1895-09-02,Burnt,Woods Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Ronda May - 1965,1965-04-14,Wrecked,Woods Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Malcolm Garry - 1973,1973-08-23,Wrecked,Woods Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
John Purney - 1888,1888-08-18,Stranded,"Wood Island, near Owls Head",,,,,,,,,,,,,,,,,,,,,,,,,,
Kay & Em - 1927,1927-09-11,Stranded,Wolfville Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
unknown -,,,Wolfville Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairie Bird - 1875,1875-08-27,Stranded,Wolfville Creek,,,,,,,,,,,,,,,,,,,,,,,,,,
Clara Jane - 1879,1879-01-01,Capsized,Wolfville,,,,,,,,,,,,,,,,,,,,,,,,,,
Sparkling Billow - 1889,1889-04-23,Strained,Wolfville,,,,,,,,,,,,,,,,,,,,,,,,,,
Hebe - 1878,1878-08-27,Wrecked,"Wolf, south west , Bay of Fundy",,,,,,,,,,,,,,,,,,,,,,,,,,
Laura Seyward - 1892,1892-07-22,Foundered,Wolf Island (CB),,,,,,,,,,,,,,,,,,,,,,,,,,
Mary S. I. Law - 1927,1927-10-14,Burnt,Wolf Brook,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlotte - 1872,1872-11-25,Stranded,Winning Point,,,,,,,,,,,,,,,,,,,,,,,,,,
Trader - 1882,1882-08-12,Stranded,"Winging Point, Gabarus",,,,,,,,,,,,,,,,,,,,,,,,,,
Alachua - 1926,1926-05-20,Stranded,Winging Point Reef,,,,,,,,,,,,,,,,,,,,,,,,,,
Alice May - 1878,1878-07-10,Stranded,Winging Point Beach,,,,,,,,,,,,,,,,,,,,,,,,,,
Thordoc - 1940,1940-03-30,Stranded,Winging Point,,,,,,,,,,,,,,,,,,,,,,,,,,
John Lawrence - 1904,1904-04-03,Stranded,Wine Harbour Bar,,,,,,,,,,,,,,,,,,,,,,,,,,
Limelight - 1914,1914-11-20,Stranded,Wine Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Percy B. - 1914,1914-12-01,Stranded,Windsor River,,,,,,,,,,,,,,,,,,,,,,,,,,
Huron - 1870,1870-01-01,Stranded,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,,
J. S. Lamprey - 1912,1912-06-27,Stranded,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,,
Florence Christine - 1883,1883-10-18,Struck bridge,Winchester Point,,,,,,,,,,,,,,,,,,,,,,,,,,
Marion - 1922,1922-10-30,Wrecked,Whycocomagh,,,,,,,,,,,,,,,,,,,,,,,,,,
Edward Grover - 1903,1903-12-19,Stranded,"Whitney Pier, Sydney",,,,,,,,,,,,,,,,,,,,,,,,,,
Bay Queen - 1925,1925-04-15,Foundered,"Whitehead, off",,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon - 1917,1917-07-16,Stranded,"Whitehead, entrance to",,,,,,,,,,,,,,,,,,,,,,,,,,
Cragside - 1893,1893-05-19,Foundered,"Whitehead, 6 miles SW of",,,,,,,,,,,,,,,,,,,,,,,,,,
Bertha R. Maguire - 1924,1924-10-03,Stranded,Whitehead River,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipsey - 1874,1874-04-19,Stranded,"Whitehead Harbour, entrance",,,,,,,,,,,,,,,,,,,,,,,,,,
Minnie J. L. - 1881,1881-04-03,Stranded,Whitehead Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
James U. Thomas - 1915,1915-11-19,Stranded,Whitehead Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Iza - 1874,1874-07-11,Burnt,Whitehead,,,,,,,,,,,,,,,,,,,,,,,,,,
Conquest - 1878,1878-12-22,Stranded,Whitehead,,,,,,,,,,,,,,,,,,,,,,,,,,
Ocean Gem - 1879,1879-11-18,Stranded,Whitehead,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine - 1883,1883-05-27,Stranded,Whitehead,,,,,,,,,,,,,,,,,,,,,,,,,,
Fimreite - 1907,1907-05-02,Stranded,Whitehead,,,,,,,,,,,,,,,,,,,,,,,,,,
Mary Macdougall - 1907,1907-12-16,Stranded,Whitehead,,,,,,,,,,,,,,,,,,,,,,,,,,
Lottie - 1908,1908-08-02,Stranded,Whitehead,,,,,,,,,,,,,,,,,,,,,,,,,,
Blink Bonnie - 1877,1877-09-23,Stranded,Whitehaven Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Florence C. - 1880,1880-10-17,Stranded,Whitehaven Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Wave - 1879,1879-10-29,Stranded,Whitehaven,,,,,,,,,,,,,,,,,,,,,,,,,,
Laura Bell - 1879,1879-10-29,Stranded,Whitehaven,,,,,,,,,,,,,,,,,,,,,,,,,,
Volunteer - 1879,1879-10-29,Stranded,Whitehaven,,,,,,,,,,,,,,,,,,,,,,,,,,
Willie A. - 1904,1904-11-14,Stranded,Whitehaven,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominion Coaster - 1929,1929-09-01,Stranded,Whitehaven,,,,,,,,,,,,,,,,,,,,,,,,,,
Swallow - 1877,1877-08-10,Stranded,"White Rock Point, Cape Canso",,,,,,,,,,,,,,,,,,,,,,,,,,
Laverniere - 1949,1949-07-29,Collision,"White Pt, 2 miles off",,,,,,,,,,,,,,,,,,,,,,,,,,
Clara Jean - 1944,1944-12-28,Stranded,"White point, off, 2 miles west of Louisbourg Harbour",,,,,,,,,,,,,,,,,,,,,,,,,,
Wm. Crosscup - 1877,1877-04-26,Stranded,"White Point, near Louisbourg",,,,,,,,,,,,,,,,,,,,,,,,,,
Gunhilda - 1896,1896-05-27,Stranded,"White Point, near Louisbourg",,,,,,,,,,,,,,,,,,,,,,,,,,
