shipsName,shipsOwner,yearBuilt,vesselType,dateLost,year,month,day,latitude,longitude,locationLost,causeOfLoss,departurePort,destinationPort
Brunswick,,,Sloop,11/30/1780,1780.0,11,30,,,Barnegat,Grounded,,
Brutus,,,Schooner,9/27/1878,1878.0,9,27,,,Cape May Crowalls Shoal,Stranded,,
Buckeye,,,Schooner,10/1878,1878.0,10,,,,Fort Delaware E .25 mi,Foundered,"Wilmington, DE",Bombay Hook
Buena Vista (1856),,,Schooner,4/28/1856,1856.0,4,28,39.24892,-74.59898,Pecks Beach,Stranded,"New York, NY","Great Egg Harbor, NJ"
Buena Vista (1922),,1848,Schooner,12/18/1922,1922.0,12,18,,,Shrewsbury River,Stranded,"New York, NY","Great Egg Harbor, NJ"
Burns Bros No 82,,,Barge,5/19/1950,1950.0,5,19,,,South Amboy Coal Docks,Foundered,,
Burnside,Reading Rail Co,1894,Schooner - Barge,4/20/1913,1913.0,4,20,40.27500,-73.19055,"Long Branch, NJ E 37 mi",Foundered,"Philadelphia, PA","Dorchester, MA"
Butterfly,,,Sloop,7/6/1908,1908.0,7,6,,,New Jersey coast,Grounded,,
Byron D Benson (1/1942),Tidewater Assoc Oil Co,1921,Tanker,1/10/1942,1942.0,1,10,,,Scotland Lightship,"Collision w/ ""Continent""",,
Byron D Benson (4/1942),Tidewater Assoc Oil Co,1921,Tanker,4/5/1942,1942.0,4,5,36.16666,-75.21666,"Oregon Inlet, NC NE 28 mi",,,
C & C Brooks (1873),B Smith et al,1864,Schooner,10/7/1873,1873.0,10,7,,,Cape May N 5 mi,Damaged in gale,Virginia,"New York, NY"
C & C Brooks (1877),,,Schooner,11/28/1877,1877.0,11,28,,,Barnegat,"Collision w/ ""USS Alarm""","New York, NY",Virginia
C & C Brooks (1878),,,Schooner,12/24/1878,1878.0,12,24,39.42583,-74.32784,Brigantine LSS E .75 mi,Grounded in storm,Virginia,"New York, NY"
C A White,H H Church,1884,Schooner,3/17/1901,1901.0,3,17,,,Absecon Light SE 10 mi,"Collision w/ ""Margaret B Roper""","Philadelphia, PA","East Boston, MA"
C Budd,,,Schooner,1838 - 1878,1860.0,,,,,Squan Inlet,Wrecked,,
C C Lane,Frank C Benedict,1873,Schooner 3 masted,1/7/1897,1897.0,1,7,,,Barnegat Shoal,Grounded,"Norfolk, VA","New Haven, CT"
C C Sweeney,J S Fisher,1873,Brig,11/15/1904,1904.0,11,15,36.50000,-73.75000,,,,
C F Roe,,1873,Ship steam,7/19/1910,1910.0,7,19,,,"Sewaren, NJ",Burned,,
C F Young,Perly & Russell,1869,Schooner,10/27/1875,1875.0,10,27,39.29150,-74.53024,Great Egg Harbor bar,Grounded,"Philadelphia, PA","Portland, ME"
C G Cranmer,,1864,Schooner 3 masted,10/26/1880,1880.0,10,26,,,Vineyard Haven E 5 mi,Collision,"Boston, MA","Philadelphia, PA"
C H Foster,C H Foster,1872,Schooner 3 masted,9/28/1880,1880.0,9,28,,,Barnegat Inlet NE 1.5 mi,Grounded in fog,"Boston, MA","Philadelphia, PA"
C H Hopkinson,,,Schooner,3/26/1876,1876.0,3,26,,,Barnegat S 15 mi,Damaged in gale,"Baracoa, Cuba",
C H Kennedy,Stephenson,1853,Brig Half,11/14/1871,1871.0,11,14,,,Squan Inlet,Stranded,"Bangor, ME","Philadelphia, PA"
C H Maleson,,,Schooner,1/2/1878,1878.0,1,2,,,Turtle Gut Inlet N,Stranded,"Assawoman, VA","New York, NY"
C Harvey,Francis Fremch,1880,Sloop,12/12/1886,1886.0,12,21,,,Long Beach Island,Torn sails in storm,"New York, NY","Little Egg Harbor, NJ"
C L Scull,,,Schooner,12/18/1869,1869.0,12,18,,,Shark River Inlet,Grounded,"Norfolk, VA","New York, NY"
C Matthews,,,Brig,9/9/1865,1865.0,9,9,,,Squan Inlet S 11.5 mi,Stranded,"Savannah, GA","New York, NY"
C P Hoffman,,1866,Schooner,11/20/1898,1898.0,11,20,,,Great Egg LSS WSW .75 mi,Stranded in storm,"James River, VA","Pleasantville, NJ"
C R Bennett,,1883,Schooner,7/26/1904,1904.0,7,26,,,Barnegat Inlet,Grounded,"Kettle Creek, NY","New York, NY"
C S Parnell,,,Sloop,3/16/1890,1890.0,3,16,,,Barnegat Inlet Shoal,Struck a sunken wreck,"New York, NY","Atlantic City, NJ"
C W Henson,,,Schooner,1838 - 1878,1860.0,,,,,Squan Inlet S 1 mi,Wrecked,,
C W Morse,,1889,Steamship,7/17/1916,1916.0,7,17,,,,Lost,"New York, NY",
C Y Davenport,,1863,Steamship,4/10/1872,1872.0,4,10,,,"Jersey City, NJ",Exploded,,
Cabin Cruiser,,,Cabin cruiser,8/28/1960,1960.0,8,28,39.34166,-74.38000,Absecon Inlet buoy S .5 mi,,,
Cabrille,,,Steamship,7/23/1920,1920.0,7,23,,,Brigantine Shoal,Grounded,,
Caddo (08/1921),,1910,Barge,8/26/1921,1921.0,8,26,39.64444,-74.05805,Ship Bottom E 6 mi,Foundered,,
Caddo (12/1921),Standard Oil Co of NJ,1912,Tanker,12/2/1921,1921.0,12,2,,,Barnegat,Stranded,,
Cadet (1842),,,Schooner,2/8/1842,1842.0,2,8,40.00593,-74.04392,Manasquan Inlet S 3 mi,Foundered,Virginia,"New York, NY"
Cadet (1949),Merrit Chapman & Scott,,Derrick,5/14/1949,1949.0,5,14,39.05500,-74.67000,Avalon Buoy SW 5 mi,Capsized,,
Cadwalader,,,Freighter,8/29/1942,1942.0,8,29,,,,Sank,,
Caibarien,Bartrom Bros,1869,Bark,6/6/1877,1877.0,6,6,,,Sandy Hook,"Collision w/ ""George W Clyde""","New York, NY","Charleston, SC"
Caleb S Ridgway,Jacob E Ridgeway,1879,Schooner 3 masted,11/13/1885,1885.0,11,13,,,"Ortley Beach, NJ",Grounded,"New York, NY","Wilmington, DE"
Caledonia (1715),,,Sailing ship,1715,1715.0,,,,,"Raritan River, NJ",Abandoned on mooring,,
Caledonia (1820),,,Sailing ship,12/28/1820,1820.0,12,28,,,Long Branch,Stranded,"Liverpool, England","New York, NY"
Caledonia (1836),,,Schooner,10/11/1836,1836.0,10,11,,,"Lewes, DE",Grounded,"Philadelphia, PA","Providence, RI"
Caledonia (1838),,,Sloop,9/9/1838,1838.0,9,9,,,Cape May,Grounded in gale,,
Caledonia (1844),,,Schooner,12/23/1844,1844.0,12,23,,,New Jersey coast,Capsized in gale,"Norfolk, VA",
Calvin P Harris (1872),,1871,Schooner 3 masted,1/7/1872,1872.0,1,7,,,Squan Beach,,"Baltimore, MD","New York, NY"
Calvin P Harris (1877),,1871,Schooner 3 masted,4/16/1877,1877.0,4,16,,,Barnegat,Fire in rigging/foremast,"Providence, RI","Philadelphia, PA"
Calvin S Edwards,"F Smith, et al",1860,Schooner,1/25/1891,1891.0,1,25,,,Atlantic City,Lost sails; Abandoned,"Norfolk, VA","New York, NY"
Cambria,,1871,Steamship,2/14/1920,1920.0,2,14,,,"Jersey City, NJ",Burned,,
Cambusdoon,James Kennedy,1881,Bark,4/2/1886,1886.0,4,2,,,Highands S 20 mi,"Collision w/ ""Charlotte Webb No 5""","Cebu, Philippines","New York, NY"
Camilla,,,Schooner,12/18/1856,1856.0,12,18,,,Cold Spring Bar,Grounded,,
Camilla May Page,Putnam Lumber Co,1905,Schooner,2/21/1927,1927.0,2,21,39.42116,-74.22666,Little Egg Harbor,Lost in a storm,,
Campbell,,,Schooner,8/18/1879,1879.0,8,18,,,Great Egg Harbor E 50 mi,Dismasted in gale; In distress,"Providence, RI","Baltimore, MD"
Campbell,U S Coast Guard,1936,Cutter,11/29/1984,1984.0,11,29,,,Pacific Ocean,Sunk as target,,
